date;avg_temp;avg_humidity;avg_co2;avg_tvoc;predicted;label
02/04/25;24.63;39.77;473.0;2.0;0;0
03/04/25;24.59;38.06;584.14;0.0;0;0
04/04/25;24.91;51.68;507.2;0.0;0;0
05/04/25;24.55;45.27;1121.29;10.68;0;0
06/04/25;22.37;55.7;429.67;0.0;1;1
07/04/25;24.51;54.56;400.0;0.1;1;1
08/04/25;25.3;56.32;400.0;0.0;0;0
09/04/25;25.41;43.24;400.0;0.0;0;0
10/04/25;24.8;46.53;400.0;0.0;0;0
11/04/25;25.0;58.21;400.0;0.0;0;0
12/04/25;24.3;49.02;400.0;0.0;2;2
13/04/25;24.91;51.68;507.2;0.0;2;2
14/04/25;24.71;52.59;429.11;0.06;0;0
15/04/25;25.0;56.73;429.07;0.0;0;0
16/04/25;25.49;56.88;519.0;0.08;0;0
17/04/25;25.61;59.91;418.24;0.12;0;0
18/04/25;25.62;60.06;411.28;0.0;1;1
23/04/25;22.41;55.7;429.67;0.0;0;0
24/04/25;23.08;46.53;400.0;0.0;0;0
25/04/25;24.0;58.21;400.0;0.0;0;0
30/04/25;24.3;49.02;400.0;0.0;0;0
01/05/25;25.0;56.73;429.07;0.0;1;1
02/05/25;25.49;56.88;519.0;0.08;0;0
03/05/25;25.61;59.91;418.24;0.12;1;2
04/05/25;25.62;60.06;411.28;0.0;0;0
05/05/25;22.41;55.7;429.67;0.0;0;0
06/05/25;25.0;56.73;429.07;0.0;0;0
07/05/25;24.8;46.53;400.0;0.0;0;0
08/05/25;25.0;58.21;400.0;0.0;0;0
09/05/25;24.3;49.02;400.0;0.0;0;0
10/05/25;24.8;46.53;400.0;0.0;1;1
13/05/25;23.0;65.65;400.0;0.0;0;0
14/05/25;22.42;64.26;400.0;0.0;1;1
15/05/25;22.41;67.73;400.0;0.0;2;2
16/05/25;22.61;61.25;400.0;0.0;0;0
19/05/25;22.63;59.7;400.0;0.0;1;1
21/05/25;22.94;65.0;400.0;0.0;0;0
22/05/25;23.18;67.53;400.1;0.02;0;0
23/05/25;22.9;68.4;400.0;0.0;0;0
24/05/25;24.0;65.0;400.0;0.0;1;1
25/05/25;25.0;78.0;400.0;0.03;2;2
26/05/25;22.9;68.4;400.0;0.0;;
